City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Byron Bay,-28.65,153.6167,66.16,53,100,7.67,AU,2021-07-26 06:41:53
68,Kotelnikovo,47.6317,43.1461,88.23,27,27,8.95,RU,2021-07-26 06:41:54
69,Naze,28.3667,129.4833,81.52,87,100,15.52,JP,2021-07-26 06:41:54
70,Wau,7.7029,27.9953,70.03,99,100,2.55,SS,2021-07-26 06:41:55
71,Kaitangata,-46.2817,169.8464,47.77,93,100,7.58,NZ,2021-07-26 06:41:55
72,Narsaq,60.9167,-46.05,44.82,55,98,4.07,GL,2021-07-26 06:41:56
73,Barrow,71.2906,-156.7887,39.22,98,90,11.5,US,2021-07-26 06:41:56
74,Cape Town,-33.9258,18.4232,55.81,55,0,4.61,ZA,2021-07-26 06:40:49
75,Merrill,45.1805,-89.6835,62.82,96,1,0.0,US,2021-07-26 06:41:56
76,Saint George,37.1041,-113.5841,80.33,70,1,1.99,US,2021-07-26 06:41:01
77,Busselton,-33.65,115.3333,66.04,77,70,28.74,AU,2021-07-26 06:41:57
78,Angleton,29.1694,-95.4319,83.12,90,1,3.44,US,2021-07-26 06:41:57
79,Tasiilaq,65.6145,-37.6368,41.16,84,0,1.95,GL,2021-07-26 06:41:58
80,Dzhebariki-Khaya,62.2167,135.8,77.79,40,7,8.01,RU,2021-07-26 06:41:58
81,Salalah,17.0151,54.0924,82.49,78,75,10.36,OM,2021-07-26 06:41:58
82,Launceston,-41.45,147.1667,53.8,86,75,3.0,AU,2021-07-26 06:38:48
83,Khatanga,71.9667,102.5,68.36,43,33,0.83,RU,2021-07-26 06:41:59
84,Doha,25.2867,51.5333,107.58,42,22,3.44,QA,2021-07-26 06:37:36
85,Hamilton,39.1834,-84.5333,75.99,92,1,0.0,US,2021-07-26 06:41:59
86,Dikson,73.5069,80.5464,43.16,87,17,1.77,RU,2021-07-26 06:42:00
87,Quatis,-22.4072,-44.2581,52.79,73,0,2.1,BR,2021-07-26 06:42:00
88,Katobu,-4.9408,122.5276,84.88,50,5,6.78,ID,2021-07-26 06:42:01
89,Vicuna,-30.0319,-70.7081,40.73,71,0,0.63,CL,2021-07-26 06:42:02
90,Atuona,-9.8,-139.0333,78.06,73,3,23.96,PF,2021-07-26 06:37:39
91,Codrington,-38.2667,141.9667,55.27,85,100,17.43,AU,2021-07-26 06:42:02
92,Mar Del Plata,-38.0023,-57.5575,46.0,60,0,1.01,AR,2021-07-26 06:39:00
93,Montague,42.5356,-72.5351,71.51,99,0,2.28,US,2021-07-26 06:42:03
94,Vaini,-21.2,-175.2,73.56,100,75,4.61,TO,2021-07-26 06:42:03
95,Ratnagiri,16.9833,73.3,82.67,79,91,16.91,IN,2021-07-26 06:39:20
96,Dwarka,22.2394,68.9678,82.29,84,100,23.44,IN,2021-07-26 06:42:04
97,Palestina,31.9216,35.2033,76.95,75,0,6.62,PS,2021-07-26 06:38:32
98,Tromso,69.6496,18.957,53.38,93,90,2.3,NO,2021-07-26 06:42:05
99,Nikolskoye,59.7035,30.7861,75.09,40,6,4.05,RU,2021-07-26 06:42:05
100,Rio Gallegos,-51.6226,-69.2181,33.85,80,0,14.97,AR,2021-07-26 06:42:06
101,Hambantota,6.1241,81.1185,88.14,62,56,16.11,LK,2021-07-26 06:42:06
102,Kruisfontein,-34.0033,24.7314,57.18,32,100,11.14,ZA,2021-07-26 06:42:06
103,Georgetown,5.4112,100.3354,91.35,62,20,8.01,MY,2021-07-26 06:37:14
104,Pocone,-16.2567,-56.6228,72.01,44,0,6.69,BR,2021-07-26 06:42:07
105,Meulaboh,4.1363,96.1285,85.57,66,100,6.08,ID,2021-07-26 06:42:07
106,Neuquen,-38.9516,-68.0591,40.89,93,0,8.05,AR,2021-07-26 06:42:08
107,Pevek,69.7008,170.3133,35.47,91,15,12.12,RU,2021-07-26 06:42:08
108,Rocha,-34.4833,-54.3333,53.83,92,100,9.26,UY,2021-07-26 06:42:08
109,Goderich,43.7501,-81.7165,65.91,88,0,2.3,CA,2021-07-26 06:42:09
110,Vadlapudi,14.3167,79.8,98.6,33,90,19.66,IN,2021-07-26 06:42:09
111,Akdepe,42.0551,59.3788,98.69,20,4,15.23,TM,2021-07-26 06:42:10
112,Havoysund,70.9963,24.6622,47.28,76,95,3.94,NO,2021-07-26 06:42:10
113,Touros,-5.1989,-35.4608,72.5,89,32,11.59,BR,2021-07-26 06:42:10
114,Norman Wells,65.282,-126.8329,64.44,63,90,9.22,CA,2021-07-26 06:42:11
115,Grindavik,63.8424,-22.4338,49.95,100,75,20.71,IS,2021-07-26 06:42:11
116,Ankang,32.68,109.0172,92.05,58,26,4.21,CN,2021-07-26 06:42:11
117,Madrid,40.4165,-3.7026,71.65,77,0,1.01,ES,2021-07-26 06:42:07
118,Kharp,66.8014,65.8081,56.19,49,49,8.46,RU,2021-07-26 06:42:12
119,Arraial Do Cabo,-22.9661,-42.0278,68.81,81,0,27.22,BR,2021-07-26 06:42:12
120,Patiya,22.2931,91.9762,91.35,70,40,9.22,BD,2021-07-26 06:42:12
121,Moron,-34.6534,-58.6198,51.55,96,5,7.31,AR,2021-07-26 06:42:13
122,Jalingo,8.8833,11.3667,75.34,82,100,7.4,NG,2021-07-26 06:42:13
123,Daru,-9.0763,143.2092,77.05,82,100,13.31,PG,2021-07-26 06:42:14
124,Vage,60.0469,5.5178,73.15,70,99,6.08,NO,2021-07-26 06:42:14
125,Kalmunai,7.4167,81.8167,92.35,49,29,5.59,LK,2021-07-26 06:42:15
126,Severo-Kurilsk,50.6789,156.125,60.62,91,67,4.92,RU,2021-07-26 06:42:15
127,Kununurra,-15.7667,128.7333,91.38,24,46,5.75,AU,2021-07-26 06:42:15
128,Mbandaka,0.0487,18.2603,76.78,64,21,4.41,CD,2021-07-26 06:42:16
129,Cabo Rojo,18.0866,-67.1457,78.94,91,93,8.41,PR,2021-07-26 06:42:16
130,Hasaki,35.7333,140.8333,81.28,79,100,24.11,JP,2021-07-26 06:42:16
131,Campo Verde,-20.4167,-54.0667,72.61,49,0,3.42,BR,2021-07-26 06:42:17
132,Lompoc,34.6391,-120.4579,62.1,93,90,0.0,US,2021-07-26 06:40:44
133,Broome,42.2506,-75.833,67.57,86,4,2.73,US,2021-07-26 06:42:17
134,Iracoubo,5.4802,-53.2011,75.92,90,31,5.39,GF,2021-07-26 06:42:18
135,Ahipara,-35.1667,173.1667,55.4,85,92,16.06,NZ,2021-07-26 06:42:18
136,Upernavik,72.7868,-56.1549,42.98,75,100,2.51,GL,2021-07-26 06:42:18
137,Matara,5.9485,80.5353,84.13,74,63,15.17,LK,2021-07-26 06:42:19
138,Rawson,-43.3002,-65.1023,41.02,54,30,20.38,AR,2021-07-26 06:40:50
139,Chapleau,47.8405,-83.4034,55.42,85,5,5.26,CA,2021-07-26 06:42:19
140,Esmeraldas,-19.7625,-44.3139,57.51,86,0,3.8,BR,2021-07-26 06:42:19
141,Quatre Cocos,-20.2078,57.7625,75.09,67,10,14.05,MU,2021-07-26 06:42:20
142,Sao Filipe,14.8961,-24.4956,74.21,72,99,3.09,CV,2021-07-26 06:42:20
143,Kiama,-34.6833,150.8667,64.58,52,100,10.0,AU,2021-07-26 06:42:20
144,Lavrentiya,65.5833,-171.0,43.74,97,100,6.13,RU,2021-07-26 06:42:21
145,Egvekinot,66.3167,-179.1667,47.86,82,100,4.32,RU,2021-07-26 06:42:21
146,Port Alfred,-33.5906,26.891,63.77,30,43,12.75,ZA,2021-07-26 06:42:21
147,Arkhara,49.4212,130.0842,71.24,99,100,4.32,RU,2021-07-26 06:42:22
148,Cabo San Lucas,22.8909,-109.9124,84.81,75,8,5.01,MX,2021-07-26 06:39:40
149,Isangel,-19.55,169.2667,75.31,83,75,9.22,VU,2021-07-26 06:42:22
150,Urengoy,65.9667,78.3667,51.1,94,100,10.49,RU,2021-07-26 06:42:23
151,Bengkulu,-3.8004,102.2655,84.67,66,78,10.36,ID,2021-07-26 06:42:23
152,George,-33.963,22.4617,60.35,29,0,3.44,ZA,2021-07-26 06:42:24
153,Roebourne,-20.7833,117.1333,79.97,31,100,9.73,AU,2021-07-26 06:42:24
154,Placido De Castro,-10.3353,-67.1856,75.29,61,78,1.34,BR,2021-07-26 06:42:24
155,Airai,-8.9266,125.4092,74.88,35,73,2.57,TL,2021-07-26 06:42:25
