City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
387,Bud,US,75.18,39.447,-86.1758,
388,Maicao,CO,77.27,11.3832,-72.2432,
390,Koulikoro,ML,78.46,14.0,-7.75,
393,Duverge,DO,75.31,18.3784,-71.5247,
394,Lazaro Cardenas,MX,79.34,17.9583,-102.2,
398,Kamenka,RU,76.19,51.3223,42.7678,
402,Yerbogachen,RU,86.59,61.2767,108.0108,
406,Champerico,GT,80.73,14.3,-91.9167,
409,Kavieng,PG,82.42,-2.5744,150.7967,
410,Samandag,TR,86.52,36.0842,35.9771,
412,San Patricio,US,84.06,28.017,-97.5169,
413,Kedrovyy,RU,82.81,56.1667,91.8167,
417,Mundo Nuevo,MX,78.93,18.7,-95.5,
419,Guye,CN,88.74,39.7333,118.4167,
421,Mayya,RU,85.32,61.7333,130.2811,
426,Palu,ID,87.31,-0.8917,119.8707,
427,Teya,RU,88.93,60.3778,92.6267,
429,Blythe,US,86.04,33.6103,-114.5964,
430,Salinopolis,BR,76.8,-0.6136,-47.3561,
433,Miles City,US,76.51,46.4083,-105.8406,
434,Male,MV,85.95,4.1748,73.5089,
436,Mogadishu,SO,80.47,2.0371,45.3438,
438,Marostica,IT,78.69,45.7468,11.6579,
445,Khetri,IN,89.55,27.9833,75.8,
448,Ahuimanu,US,82.11,21.4447,-157.8378,
453,Atambua,ID,82.17,-9.1061,124.8925,
456,Cozumel,MX,78.78,20.5083,-86.9458,
457,Emba,KZ,80.62,48.8264,58.1442,
459,Gorontalo,ID,86.22,0.5412,123.0595,
461,Oistins,BB,77.09,13.0667,-59.5333,
466,Kendari,ID,82.99,-3.945,122.4989,
467,Bonthe,SL,75.72,7.5264,-12.505,
469,Ailigandi,PA,76.37,9.2333,-78.0167,
470,Atar,MR,86.92,20.5169,-13.0499,
472,Katsuura,JP,82.51,35.1333,140.3,
474,Lekoni,GA,75.63,-1.5843,14.2591,
475,Salina Cruz,MX,79.29,16.1667,-95.2,
476,Jingdezhen,CN,87.51,29.2947,117.2079,
480,Novikovo,RU,76.84,51.1537,37.8879,
481,Saint Marys,US,82.0,30.7305,-81.5465,
482,Khartoum,SD,82.02,15.5518,32.5324,
488,Cihuatlan,MX,77.29,19.2366,-104.5651,
493,Siemiatycze,PL,76.24,52.4272,22.8623,
496,Bull Savanna,JM,75.09,17.8868,-77.5902,
497,Rockport,US,84.22,28.0206,-97.0544,
499,Bambous Virieux,MU,75.22,-20.3428,57.7575,
504,Nong Bua,TH,75.96,15.8646,100.5858,
506,Kirakira,SB,79.72,-10.4544,161.9205,
507,Nhulunbuy,AU,83.01,-12.2333,136.7667,
510,San Blas,MX,79.84,21.5167,-105.2667,
511,Tura,IN,83.62,25.5198,90.2201,
512,Iki-Burul,RU,86.34,45.8208,44.6472,
515,Vanavara,RU,88.88,60.34,102.2797,
518,Katangli,RU,80.35,51.7102,143.2326,
519,Nouakchott,MR,75.13,18.0858,-15.9785,
520,Goundam,ML,86.76,16.4145,-3.6708,
522,Kargasok,RU,76.66,59.0556,80.8572,
527,Iwanai,JP,79.41,42.9744,140.5089,
532,Muisne,EC,75.22,0.6,-80.0333,
533,Vutcani,RO,78.24,46.4667,27.9667,
535,Porto Novo,BJ,76.46,6.4965,2.6036,
536,Tshikapa,CD,77.7,-6.4167,20.8,
543,Belyy Yar,RU,82.29,53.6039,91.3903,
547,Gizo,SB,82.71,-8.103,156.8419,
550,Maku,IR,81.19,39.2911,44.4521,
