City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,khorramshahr,IR,84.16,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
134,boquira,BR,67.98,clear sky,-12.8231,-42.7306,Cristal Palace Hotel
135,kropotkin,RU,71.26,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
136,antofagasta,CL,63.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
137,sur,OM,95.77,broken clouds,22.5667,59.5289,Sur Plaza Hotel
138,tabas,IR,88.29,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
140,wajir,KE,73.36,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
141,praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
142,waldkirchen,DE,60.69,broken clouds,48.7327,13.6008,Hotel Gottinger
143,nikolskoye,RU,67.89,broken clouds,59.7035,30.7861,Tourist House - Sablino
144,yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
147,veraval,IN,82.22,overcast clouds,20.9,70.3667,Lords Inn Somnath
148,praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
151,roseburg,US,89.71,clear sky,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
152,la vista,US,88.56,clear sky,41.1839,-96.0311,Comfort Inn & Suites Omaha Central
155,makakilo city,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
156,alyangula,AU,84.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
157,turka,UA,64.8,clear sky,49.1541,23.0297,Мотель
158,toshkivka,UA,75.22,broken clouds,48.7791,38.579,ХАТА ГЛ.КАБАНА
161,whitehorse,CA,68.02,scattered clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
162,asau,RO,66.96,few clouds,46.4333,26.4,Casa Mika Ciobanus
163,ponta do sol,PT,73.0,scattered clouds,32.6667,-17.1,Hotel do Campo
166,spring valley,US,99.79,broken clouds,36.108,-115.245,Westgate Flamingo Bay Resort
167,otane,NZ,60.39,clear sky,-39.8833,176.6333,Ludlow Farmstay
168,port shepstone,ZA,60.31,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
169,wewak,PG,84.72,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
170,kirakira,SB,83.84,few clouds,-10.4544,161.9205,SanBiz Lodge
172,puerto ayora,EC,71.29,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
173,los llanos de aridane,ES,67.75,few clouds,28.6585,-17.9182,Valle Aridane
174,ketchikan,US,63.07,broken clouds,55.3422,-131.6461,Snows Cove Lodge
176,suez,EG,76.42,clear sky,29.9737,32.5263,Green House
177,jishou,CN,91.15,few clouds,28.3167,109.7167,7 Days Inn
178,cabo san lucas,MX,87.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
180,mahajanga,MG,64.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
182,geraldton,AU,67.12,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
184,ayorou,NE,80.53,scattered clouds,14.7308,0.9174,Hotel Amenokal
186,baykit,RU,78.93,broken clouds,61.67,96.37,
187,batemans bay,AU,65.1,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
188,macon,US,80.35,clear sky,39.8667,-88.9668,Haworth Cottage
190,avera,US,81.72,broken clouds,33.194,-82.5271,
192,inuvik,CA,61.66,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
193,mayo,US,79.21,haze,38.8876,-76.5119,Resorts Resource Group International
194,teruel,ES,60.76,clear sky,40.6667,-0.6667,La Parra
195,leh,IN,60.57,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
196,caravelas,BR,72.28,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
199,saint george,US,97.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
200,tazmalt,DZ,82.18,clear sky,36.3868,4.3989,Hôtel Numédia
201,port hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
204,muncar,ID,84.81,scattered clouds,-8.4333,114.3333,Zaky Homestay
206,abonnema,NG,73.47,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
209,labuhan,ID,87.84,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
211,goderich,CA,68.04,broken clouds,43.7501,-81.7165,Harmony Inn
212,yatou,CN,84.15,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
213,krasnoselkup,RU,67.23,clear sky,65.7,82.4667,Krasnosel'kupnefteprodukt
214,norman wells,CA,64.44,broken clouds,65.282,-126.8329,Heritage Hotel
215,altay,CN,75.69,few clouds,47.8667,88.1167,Jinqiao Hotel
216,ottersberg,DE,62.55,broken clouds,53.1,9.15,Ferienhaus in Schweden
218,katherine,AU,91.72,few clouds,-14.4667,132.2667,Pine Tree Motel
220,hualmay,PE,63.25,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
221,ordynskoye,RU,71.55,scattered clouds,54.3656,81.8994,Lunevka
227,istok,XK,61.72,clear sky,42.7808,20.4875,Hotel TROFTA
228,kolyvan,RU,69.42,broken clouds,55.3053,82.7391,
230,aitape,PG,84.0,scattered clouds,-3.1374,142.3475,
232,talnakh,RU,61.81,overcast clouds,69.4865,88.3972,Talnakh Hotel
233,conceicao do araguaia,BR,77.13,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
234,dharmadam,IN,80.58,overcast clouds,11.7833,75.4333,Samudra Homes
238,torbay,CA,67.75,overcast clouds,47.6666,-52.7314,Gallows Cove
239,barra do garcas,BR,64.98,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
240,biak,ID,83.14,broken clouds,-0.9131,122.8766,Penginapan Kim
241,lincoln,US,87.3,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
242,nacozari,MX,82.11,broken clouds,25.3366,-108.2574,
243,kavaratti,IN,82.26,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
245,faya,SA,66.31,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
247,renala khurd,PK,88.99,scattered clouds,30.8833,73.6,ch usman munir home
249,grand gaube,MU,72.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
251,kundiawa,PG,72.64,broken clouds,-6.0167,144.9667,Dots Guest House
252,sibolga,ID,85.26,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
253,lauchhammer,DE,65.79,clear sky,51.5,13.8,MR-Hotel & lukAs Restaurant-Bar
254,saint anthony,US,89.2,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
255,piacabucu,BR,72.01,clear sky,-10.4056,-36.4344,Piaçabuçu News
259,palmer,US,66.81,clear sky,42.1584,-72.3287,Wedgewood Motel
262,vrangel,RU,76.78,few clouds,42.7297,133.0839,"Отель ""БАЛИ"""
263,culaman,PH,87.3,overcast clouds,5.9603,125.6586,Jasmin Ex House
264,santa cruz,BO,60.26,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
265,college,US,64.72,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
266,huarmey,PE,64.78,broken clouds,-10.0681,-78.1522,Hotel Miramar
267,kijang,KR,91.13,broken clouds,35.2442,129.2139,Samyang Beach Villa
268,nampula,MZ,60.75,clear sky,-15.1165,39.2666,BUTIK Hotel
269,hirara,JP,88.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
270,hun,LY,73.96,clear sky,29.1268,15.9477,Alrwasi Hotel
271,alamosa,US,69.31,clear sky,37.4695,-105.87,Best Western Alamosa Inn
272,alta floresta,BR,71.37,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
274,kavieng,PG,84.52,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
276,meulaboh,ID,84.42,overcast clouds,4.1363,96.1285,Kost Pria
278,den helder,NL,60.98,few clouds,52.9599,4.7593,Hotel Den Helder
279,turukhansk,RU,67.46,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
281,amapa,BR,70.41,broken clouds,1.0,-52.0,
282,jesus carranza,MX,74.61,overcast clouds,17.4333,-95.0333,Departamento Doris
284,karratha,AU,76.19,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
285,la ronge,CA,66.42,broken clouds,55.1001,-105.2842,Northland Motor Hotel
286,pinawa,CA,65.48,clear sky,50.1489,-95.8811,Pinawa Motel
287,goundam,ML,82.56,broken clouds,16.4145,-3.6708,
289,zhezkazgan,KZ,77.23,overcast clouds,47.8043,67.7144,Hotel Zumrat
290,batagay-alyta,RU,60.98,overcast clouds,67.8006,130.4114,
291,erzin,TR,79.32,clear sky,36.9559,36.2,Artemis Otel
293,stolin,BY,67.51,few clouds,51.8912,26.846,Stolinskiy Khlebozavod
294,boca do acre,BR,74.79,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
296,lithakia,GR,78.58,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
297,port lincoln,AU,60.4,clear sky,-34.7333,135.8667,Port Lincoln Hotel
298,sao joao da barra,BR,66.63,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
299,dong hoi,VN,90.32,overcast clouds,17.4833,106.6,Nam Long Hotel
300,tarakan,ID,83.7,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
302,asekeyevo,RU,64.54,scattered clouds,53.5742,52.7972,
303,jefferson city,US,84.13,clear sky,38.5767,-92.1735,DoubleTree by Hilton Hotel Jefferson City
305,malakal,SS,70.56,overcast clouds,9.5334,31.6605,Nile Palace Hotel
306,touros,BR,74.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
307,sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
309,gayeri,BF,73.11,broken clouds,12.6497,0.4931,
310,chara,RU,74.46,scattered clouds,56.9064,118.2631,
312,skelleftea,SE,66.0,clear sky,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
313,khamgaon,IN,78.39,overcast clouds,20.6833,76.5667,Gurukrupa Inn Hotel
314,borogontsy,RU,72.16,clear sky,62.6683,131.1683,
315,jos,NG,63.9,overcast clouds,9.9167,8.9,Silk Suites
